Codigo_Curso,Centro_de_Ensino,Nome_Do_Curso,Matriculados,Ano_Referencia
3393,CSA,Administração,736,2020
3393,CSA,Administração,723,2021
3413,CCA,Agronomia,453,2020
3413,CCA,Agronomia,438,2021
58188,CCA,Agronomia (CAU),198,2020
58188,CCA,Agronomia (CAU),182,2021
21627,CTC,Arquitetura e Urbanismo,212,2020
21627,CTC,Arquitetura e Urbanismo,214,2021
5000538,CCH,Artes Cênicas,154,2020
5000538,CCH,Artes Cênicas,141,2021
5000539,CCH,Artes Visuais,161,2020
5000539,CCH,Artes Visuais,159,2021
5000540,CCS,Biomedicina,163,2020
5000540,CCS,Biomedicina,161,2021
1148343,CCB,Bioquímica,125,2020
1148343,CCB,Bioquímica,134,2021
5000545,CCB,Biotecnologia,125,2020
5000545,CCB,Biotecnologia,110,2021
3419,CTC,Ciência da Computação,219,2020
3419,CTC,Ciência da Computação,220,2021
303408,CCB,Ciências Biologicas,389,2020
303408,CCB,Ciências Biologicas,378,2021
3394,CSA,Ciências Contábeis,567,2020
3394,CSA,Ciências Contábeis,551,2021
3415,CSA,Ciências Contábeis (CRC),171,2020
3415,CSA,Ciências Contábeis (CRC),168,2021
1153285,CSA,Ciências Econômicas,538,2020
1153285,CSA,Ciências Econômicas,520,2021
321624,CCH,Ciências Sociais,175,2020
321624,CCH,Ciências Sociais,170,2021
5000542,CCH,Comunicação e Multimeios,180,2020
5000542,CCH,Comunicação e Multimeios,165,2021
58187,CTC,Design,120,2020
58187,CTC,Design,134,2021
3395,CSA,Direito,830,2020
3395,CSA,Direito,816,2021
399397,CCS,Educação Física,531,2020
399397,CCS,Educação Física,487,2021
5000546,CCS,Educação Física (CRV),70,2020
5000546,CCS,Educação Física (CRV),50,2021
46742,CCS,Enfermagem,187,2020
46742,CCS,Enfermagem,174,2021
58200,CCA,Engenharia Agrícola (CAR),71,2020
58200,CCA,Engenharia Agrícola (CAR),60,2021
1148389,CTC,Engenharia Ambiental (CAU),102,2020
1148389,CTC,Engenharia Ambiental (CAU),67,2021
3402,CTC,Engenharia Civil,450,2020
3402,CTC,Engenharia Civil,448,2021
150159,CTC,Engenharia Civil (CAU),189,2020
150159,CTC,Engenharia Civil (CAU),182,2021
21628,CTC,Engenharia de Alimentos,175,2020
21628,CTC,Engenharia de Alimentos,154,2021
1147332,CTC,Engenharia de Alimentos (CAU),91,2020
1147332,CTC,Engenharia de Alimentos (CAU),80,2021
21629,CTC,Engenharia de Produção,612,2020
21629,CTC,Engenharia de Produção,586,2021
150157,CTC,Engenharia de Produção (CRG),136,2020
150157,CTC,Engenharia de Produção (CRG),108,2021
150158,CTC,Engenharia Elétrica,224,2020
150158,CTC,Engenharia Elétrica,211,2021
21630,CTC,Engenharia Mecânica,195,2020
21630,CTC,Engenharia Mecânica,201,2021
3403,CTC,Engenharia Química,473,2020
3403,CTC,Engenharia Química,464,2021
3421,CTC,Engenharia Têxtil,55,2020
3421,CTC,Engenharia Têxtil,45,2021
21623,CCE,Estatística,126,2020
21623,CCE,Estatística,130,2021
3411,CCS,Farmácia,310,2020
3411,CCS,Farmácia,322,2021
21625,CCH,Filosofia,122,2020
21625,CCH,Filosofia,130,2021
303405,CCE,Física,251,2020
303405,CCE,Física,235,2021
5000544,CCE,Física (CRG),26,2020
5000544,CCE,Física (CRG),45,2021
303400,CCH,Geografia,324,2020
303400,CCH,Geografia,301,2021
3399,CCH,História,265,2020
3399,CCH,História,278,2021
5000547,CCH,História (CRV),40,2020
5000547,CCH,História (CRV),21,2021
19392,CTC,Informática,206,2020
19392,CTC,Informática,218,2021
34677,CCH,Letras,575,2020
34677,CCH,Letras,564,2021
3422,CCE,Licenciatura em Ciências Naturais (CRG),2,2021
3422,CCE,Licenciatura Plena em Ciências,13,2020
3422,CCE,Licenciatura Plena em Ciências,6,2021
303407,CCE,Matemática,324,2020
303407,CCE,Matemática,287,2021
3418,CCS,Medicina,247,2020
3418,CCS,Medicina,248,2021
58202,CCA,Medicina Veterinária (CAU),196,2020
58202,CCA,Medicina Veterinária (CAU),202,2021
58242,CTC,Moda,120,2020
58242,CTC,Moda,115,2021
92105,CCH,Música,117,2020
92105,CCH,Música,107,2021
3417,CCS,Odontologia,199,2020
3417,CCS,Odontologia,205,2021
3416,CCH,Pedagogia,467,2020
3416,CCH,Pedagogia,450,2021
3397,CCH,Pedagogia (CRC),152,2020
3397,CCH,Pedagogia (CRC),152,2021
1165576,CCH,Pedagogia (PARFOR),54,2020
1165576,CCH,Pedagogia (PARFOR),47,2021
3401,CCH,Psicologia,375,2020
3401,CCH,Psicologia,402,2021
3406,CCE,Química,314,2020
3406,CCE,Química,277,2021
21626,CCH,Secretariado Executivo Trilíngue,136,2020
21626,CCH,Secretariado Executivo Trilíngue,141,2021
5000548,CCH,Serviço Social (CRV),47,2020
5000548,CCH,Serviço Social (CRV),43,2021
58232,CTC,Tecnologia em Alimentos (CAU),65,2020
58232,CTC,Tecnologia em Alimentos (CAU),46,2021
5000545,CCB,Tecnologia em Biotecnologia,125,2020
5000545,CCB,Tecnologia em Biotecnologia,110,2021
58207,CTC,Tecnologia em Construção Civil (CAU),104,2020
58207,CTC,Tecnologia em Construção Civil (CAU),65,2021
58238,CTC,Tecnologia em Meio Ambiente (CAU),28,2020
58238,CTC,Tecnologia em Meio Ambiente (CAU),25,2021
3412,CCA,Zootecnia,349,2020
3412,CCA,Zootecnia,327,2021